name,location_city,location_neighborhood,location_coordinates,categories_0,bio_summary,bio_url,bio_birthdate,bio_deathdate,bio_yearsActiveStart,bio_yearsActiveEnd,youtube_clipExampleUrl,categories_1,categories_2
Luh tyler,Tallahassee,," -84.29687037777308, 30.442660146160325",rapper,"Tyler Meeks, better known as Luh Tyler. I an American rapper from Tallahassee, Florida. ",https://eu.tallahassee.com/story/news/local/2023/02/06/luh-tyler-emerging-tallahassee-rapper-rolling-loud-music-festival-california/69849495007/,2006-02-20T00:00:00.000Z,,2022,,https://www.youtube.com/embed/NquCKXE95L4,,
Aya Nakamura,Aulnay-sous-Bois,,"2.490266442733566, 48.941836029572535",singer,"Aya Coco Danioko (born 10 May 1995), known by her stage name Aya Nakamura, is a Malian-French singer from Aulnay-sous-Bois (Seine-Saint-Denis).",https://en.wikipedia.org/wiki/Aya_Nakamura,1995-05-10T00:00:00.000Z,,2015,,https://www.youtube.com/embed/5vQbt2PxVE8,,
Roedel,Antwerp,,"4.414546381353945, 51.212458165765334",group,"Roedel is a six-piece rap collective from Antwerp composed of So Luie Louis, Mitxelena, Rikky Rozay, Brakka Briesje, Tusais and Stef.",https://www.trixonline.be/nl/artiest/roedel-be/1231/?f=2078,,,2017,,https://www.youtube.com/embed/EjnUliZfS8E,,
Luie Louis,Antwerp,,"4.419766073018593, 51.19776259437585",producer / dj,"Luie Louis is a rapper/producer from Antwerp. In 2017, he put himself on the map of the Flemish hip-hop landscape with his debut album 'LoveLifeLouis'. With the record with features from NAG, Zwangere Guy, Blu Samu, among others, he toured the country and flattened many halls. Around this period he also started a band on 'De Luie Live band' (something that was unique at the moment in the Flemish scene) released a record called 'The golden Classics' and toured with it.",https://busker.be/artists/luie-louis/,,,2017,,https://www.youtube.com/embed/YFZHWSYn-xQ,rapper,
Kerchak,Bois Colombe,,"2.2751423101474217, 48.90991788079845",rapper,"Kerchak (born Feb 19 2004) is a French rapper from Bois Colombe, Hauts-de-Seine, Iles de france. He is one of the major representatives of the Jersey Drill subgenre in France.",,2004-02-19T00:00:00.000Z,,2019,,https://www.youtube.com/embed/AoxSXpWpr68,,
Young Slo be,Stockton,Nightingale,"-121.24718434006944, 37.93827901324217",rapper,"Disean Jaquae Victor (1992 - August 5, 2022), better known as Young Slo-Be, was a rapper from Nightingale neighborhood Stockton, California. He was murdered in 2022, at the age of 29.",https://genius.com/artists/Young-slo-be,,2022-08-05T00:00:00.000Z,2010,2022.0,https://www.youtube.com/embed/069bthsVQJA,,
Blu Samu,Antwerp,,"4.4040621938141555, 51.210938453902315",rapper,"Salomé Dos Santos, know as Blue Samu (born 1995), is a rapper and singer from Belgium. Her music is a mix between hiphop, soul , brazilian and funk. She sings in dutch, french and english.",https://nl.wikipedia.org/wiki/Blu_Samu,,,2017,,https://www.youtube.com/embed/4-wAcNg0mnI,singer,
Peet,Laeken,Laeken,"4.348076926675185, 50.88042921651576",producer / dj,"Beatmaker and rapper since 2012, Peet is a member of  ""Le 77"" who also works on solo projets.",https://www.rtbf.be/article/peet-un-incontournable-du-rap-belge-dans-decibels-10730987,,,2012,,https://www.youtube.com/embed/GaO2MDl2qBA,rapper,
Le 77,Laeken,,"4.347689185240174, 50.880180168713764",group,"Rap group from Laeken. It is made up of two rappers (Peet and Félé Flingue), a composer (Morgan) and a manager (Rayan). Their name comes from the number of their collocation.",https://fr.wikipedia.org/wiki/Le_77,,,2016,,https://www.youtube.com/embed/4HYpWVdXnhI,,
OKI,Lubin,,"16.18634438977391, 51.40480405774521",rapper,"Oskar Kami%u0144ski (born 1998), known professionally as Oki, is a rapper, singer from Lubin, Poland.",https://en.wikipedia.org/wiki/Oki_(rapper),,,2013,,https://youtube.com/embed/wlOdTniCvt0,singer,
